"","Pub.number","Department","Author","Title","School","Degree","Year","Pages","ABSTRACT","Method.Terms","Notes","Clin","Crit","Disc","Ethn","Expt","Hist","Intv","Meta","Modl","Phil","Poet","Prac","Rhet","Surv","Othr","Ped","Method.Count","Exclude.Level","Aggreg","Phenom","Dialec","Techne","Counts.simple","Subject","KEYWORDS","Advisor.type","Advisor.Name","School_original","Link","X500","Advisor","Subject.Codes","Subject.Terms","Flags","Tagged.By","Andrew.Tags","Sandra.Tags","Sandra.Notes","Ben.Tags","Ben.Flags","Ben.Notes","rownumber"
"866","3122627","","GABOR, CATHERINE","Leave the room. Teaching writing beyond the four walls of the classroom","Texas Christian University","Ph.D.",2004,286,"This dissertation analyzes the benefits and drawbacks that arise for students, teachers, and members of external communities in extra-classroom writing assignments. My research included both local communities and online communities, where students collaborated with community partners, participated in intercollegiate discussion boards, and joined online communities of their own choosing. In order to assess the impact of extra-classroom writing assignments on student engagement and <italic>rhetorical sensitivity</italic> (the ability to recognize and critically examine writing tools and rhetorical situations and one's position(s) therein) in extra-classroom writing, I observed students in multiple rhetorical situations, used short questionnaires, and interpreted student-(co)authored texts according to an ethnographic research methodology_Êîone specifically suited for the study of extra-classroom writing, based on the action-reflection cycle central to Deweyan educational philosophy. Ultimately, I argue that rhetorical sensitivity obtains when students view their writing from multiple standpoints and that engagement ensues when students perceive a _Ê_real_Êù exigency for their writing, with limited teacher monitoring or surveillance. ^ I conclude by arguing that extra-classroom assignments hold potential for student engagement and increased rhetorical sensitivity to the degree that students perceive such assignments as serving some function other than meeting a teacher's requirements. Creating such a sense of rhetorical exigency is challenging in the context of required writing classes where assignments are typically made and monitored by the teacher. However, teacher surveillance in local community writing can be reduced if institutional support for service learning substitutes for monitoring by the teacher. In this sense, I challenge Ellen Cushman's recent claim that the teacher-researcher is key to sustaining community service writing. In my recommendations about online communities, I employ Michel Foucault's and Johndan Johnson-Eilola's theories of power to explain that some level of surveillance is always present on the web, but that teachers can reduce students' sense of being monitored by choosing technologies that foster less constrained participation and by inviting students to participate in online communities of which the teacher is not a part. ^","Ethnographic|Interview / Focus Group|Philosophical / Theoretical ~check","",0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,1,1,0,2,"Education, Language and Literature|Language, Rhetoric and Composition","Service learning|Writing|Community-based writing","Adviser","Carrie S. Leverenz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"882","3123566","","HAMMERS, MICHELE LEE","_Ê_The Vagina Monologues_Êù: Staging complex questions about rhetorical theory and practice","Arizona State University","Ph.D.",2004,244,"The body's status within philosophical, theoretical, and social discourse is heavily sedimented with the weight of its historical positioning as the de-valued _Ê_other_Êù term in the mind/body dichotomy, which not only divides, but also hierarchizes, the relationship between the <mind> and the <body>. Both rhetorical and feminist theory continue to struggle with, and fall short of, finding solutions to the problems raised by the body's inescapable prominence as the problematic excess that does not belong with, or fit neatly within, the frameworks through which theorists and critics understand both rhetorical efficacy and individual and social agency. ^ Eve Ensler's play, <italic>The Vagina Monologues</italic>, challenges rhetorical critics, feminist activists, and theorists of all kinds, to re-think the relationship between the body, particularly the female body, and current understandings of <public> and <private>. By doing so, Ensler's play also challenges us to explore the status of the <body> within rhetorical and feminist studies. <italic>The Vagina Monologues</italic>' emphasis on the female body as not only a site for individual experience but also as a source of individual agency and rhetorical activity, makes this play a rich source for insights into how and why women's bodies operate as they do in public arenas. ^ Drawing upon bodies of theory including rhetorical studies, counterpublic studies, and gender theory, this project seeks to map the common ground among these diverse literatures in order to better understand the status of the <body> in contemporary social discourse. Then, by turning to lessons learned from media studies scholarship concerning the potential polysemy of rhetorical texts, an analysis grounded in both critical rhetoric and qualitative inquiry is performed. This analysis suggests that the <body's> complex discursive status makes rhetorical efforts at social change, such as those launched by <italic> The Vagina Monologues</italic>, not only difficult, but also potentially dangerous for the groups these efforts are designed to aid. However, despite this mild caveat, this analysis also suggests that these efforts play an important role in effecting change in attitudes and behaviors at an individual level and can, with continued support from individuals, help effect change at local and community levels as well. ^","Philosophical / Theoretical ~check|Critical / Hermeneutical ~check","",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,"Women's Studies|Theater|Language, Rhetoric and Composition","Staging|Body|Ensler, Eve|Vagina Monologues|Rhetorical","Adviser","Daniel C. Brouwer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"885","3124131","","BERKLAND, MARA KATHLEEN","Feminism and its social movement in Morocco: Pragmatism, persuasion, and change","University of Utah","Ph.D.",2004,199,"Feminists in Morocco have recently begun to protest the inequities created for them under the Personal Status Code. Their protests include everything from the creation of political and charitable organizations to the establishment of websites and alliances with other like-minded organizations. Through qualitative, grounded theoretical methods, this study examines the rhetoric produced by the organizations in the form of internet texts in order to understand the major issues being protested by the organizations. Second, it attempts to identify the strategies the organizations use to counter the inequities they protest. What is concluded is that Moroccan women's organizations spend the majority of their time creating and maintaining opportunities for women by providing education, health care, legal assistance, and economic opportunities. Less effort is spent opposing inequities at the legal and political levels by the organizations, and rarely do they discuss the place of religion in the creation of their social, economic, and cultural positions. The benefits and potential consequences are debated within this study, recognizing that the hybrid culture in which they exist creates opportunities and constraints that cannot be understood by looking at either Western or Islamic feminist perspectives. ^","Discourse or Text Analysis ~check|Ethnographic ~check","",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,"Women's Studies|Language, Rhetoric and Composition","Feminism|Persuasion|Morocco|Social movement|Pragmatism","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"886","3124140","","DE PEW, KEVIN ERIC","The rhetorical process of digital subjectivities: Case studies of international teaching assistants negotiating identity with digital media","Purdue University-Main Campus","Ph.D.",2003,310,"In the absence of an articulated process for composing one's digital subjectivity, scholars have relied on corporate and artistic tropes to support their arguments about various technologies' egalitarian potential. By using these tropes, these scholars actually undermine their goals of empowering users, especially marked individuals, because they reify unreasonable expectations. As an alternative to these tropes, three heuristics have been developed as a possible foundation for computer users' digital subjectivity composing process: (1) having knowledge of the social ideology, (2) having knowledge of computer use and conventions, (3) understanding how the ideological design of the technology prescribes users' subjectivity. The viability of these heuristics is examined in the context of English Composition courses taught in computer-mediated classrooms by international teaching assistants (ITAs). To test this viability I posed the questions: (1) why do ITAs need compensatory strategies to manage the rhetorical situation of the classroom? (2) what effect does computer technologies have on this rhetorical situation? and (3) what appropriate technological practices should ITAs use to manage the American classroom? As a means of giving the ITA participants agency in the epistemological process_Êîsomething that has absent from many studies about ITAs_Êîthe study has been designed using postcritical research methods. This data collection includes: (1) interviews with the ITAs, (2) observations of the classroom (or rhetorical context), (3) collection of public documents (i.e., web pages, emails, PowerPoint presentations, online conferencing transcripts) shared between the ITAs and their students, and (4) questionnaires designed to learn how the student audience responded to their ITAs. From this study we learn that not all ITAs need compensatory strategies and this need is not entirely predictable. Furthermore, the technology, rather than empowering the instructors, became another factor that affected how their audience perceived them. As a result, the first two heuristics (i.e., social knowledge and technological knowledge) proved to be viable. Although participants' digital subjectivity composing process did not include the third heuristic (i.e., reading the ideological design of the technology), we should still consider exploring the effects of this strategy in future studies. ^","Ethnographic|Clinical / Case Study|Interview / Focus Group|Model-Building ~check","",1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,1,1,0,2,"Education, Bilingual and Multicultural|Language, Rhetoric and Composition|Education, Technology of","International teaching assistants|Subjectivities|Identity negotiation|Digital media|Rhetorical","Major Professor","Patricia A. Sullivan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"893","3124758","","SEGAARD, MATTHEW WILLIAM","Creating and evaluating an interdisciplinary writing program: A case study","University of Minnesota-Twin Cities","Ph.D.",2004,262,"This case study was designed to determine which factors are most critical for the creation and evaluation of an interdisciplinary college writing program, and to evaluate the training methods used to teach faculty members how to assess written communication. To determine which training methods should be used, the current best practices of writing assessment and program-level evaluation were reviewed. The findings of the case study, in a synthesis with these best practices, form a heuristic guide that any institution could use to create a new or evaluate an existing writing program. ^ The case study was conducted over a two-year period at Rasmussen College, a four-campus, private two-year career college of 1,500 students in Minnesota. In its assessment of its writing program, the College uses a portfolio model to collect samples of student writing from across the curricula of all its programs. In its faculty training efforts, the College exposes all faculty members to the criteria of good communication_Êîsuch as the concepts of audience and purpose_Êîthat lead to effective transactional communication. After the faculty members are exposed to these concepts, the instructors assess students' written communication, as compiled and submitted in their graduate achievement portfolios. The institution also explores the best methods for incorporating written communication activities and assignments within each of its classrooms. ^ During the training, the College works to develop a strong sense of community among the faculty members. Case study findings reveal that an engaged, student-focused faculty community is one of the key factors which drive the successful implementation of an interdisciplinary writing and assessment program. ^","Practitioner / Teacher Research ~check","",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,"Language, Rhetoric and Composition","Program evaluation|Writing across the curriculum|Interdisciplinary writing program|Accreditation","Adviser","Earl McDowell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"904","3125990","","HALLEEN, DAVID","The role of religious speech in public discourse: An examination of contemporary theories through analyzing the religious speech of Martin Luther King, Jr. and Ralph Reed","Southern Methodist University","Ph.D.",2004,265,"A current debate has ensued over what role, if any, religious speech might have in political discourse. Many renowned thinkers from a variety of academic disciplines have engaged this question offering thoughtful, if not fully satisfying, solutions. Typically current solutions account for the complexity of political, liberal discourse but lack similar sophistication concerning religious language. Following the lead of H. R. Niebuhr, I question the wisdom of treating religion as a monolithic whole. ^ This study will demonstrate how our current theories are unable to account for the significant and identifiable differences within the various representations of religious language. The central assertion of the study is that if any theory hopes to provide moral guidance in our political dialogue, it must incorporate a sophisticated understanding of religious language. In order to reveal how the current theories ignore essential differences in religious speech, I form a typology based on present scholarship that will provide a means to engage the vast array of theories concerning religious speech in political discourse. Through the utilization of a typology, recurring themes that to this point have been overshadowed in the present debate, such as an overly simplistic view of religious speech, come to light. ^ After identifying and defining the typology, I will examine the speech of two leaders from relatively recent Protestant movements, Martin Luther King, Jr. and Ralph Reed. Both men rely on religious language in their public speech and, therefore, according to current theories, the language of these two men must be treated equivalently. However, through an analysis of the speech of these two leaders, I will demonstrate that a fundamental difference exists in the way they understand and, consequently, engage dialogue. King views dialogue as a dynamic, transforming force while Reed understands it merely as a means toward attaining political clout in order to conserve his constituents' way of life. ^ Analyzing the speech of King and Reed within the context of the typology leads to the conclusion that any theory worthy of consideration concerning the appropriate role of religious speech in political dialogue must be able to account for the complexity that exists within religious speech. Our political dialogue will not flourish without such moral guidance. ^","Critical / Hermeneutical ~check|Philosophical / Theoretical ~check","",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,"Religion, General|Theology|Political Science, General|Language, Rhetoric and Composition","Political dialogue|Public discourse|King, Martin Luther, Jr.|Religious speech|Reed, Ralph","Adviser","Robin W. Lovin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"912","3127225","","BARNHART, DAVID L., JR.","The rhetorical use of children in sermons","Vanderbilt University","Ph.D.",2004,176,"The rhetoric of a sermon often includes unintended meanings that may sabotage a preacher's intended message, even when the preacher uses presumably innocuous images of children. My thesis is that the rhetoric of folly is an appropriate strategy with which to approach Biblical texts about children as well as sermons about those texts. This project contrasts the rhetoric of folly with the conventional ways images of children are used in political campaign commercials, television advertisements, sermons, and sermon illustrations. Through rhetorical analysis, other discourses about childhood emerge which indicate preachers' unspoken assumptions about race, class, and gender. I suggest that the rhetoric of folly can help preachers avoid reinscribing conventional wisdom on Jesus' revolutionary sayings about children, as well as allowing preachers to include children as hearers in the congregation. ^","Cultural-Critical Studies|Philosophical / Theoretical ~check","",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,"Religion, Clergy|Language, Rhetoric and Composition","Homiletics|Children|Sermons|Rhetorical","Director","L. Susan Bond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"915","3127416","","DOWNS, DOUGLAS P.","Teaching our own prison: First-year composition curricula and public conceptions of writing","University of Utah","Ph.D.",2004,351,"This dissertation studies the relationship of first-year composition (FYC) curricula to public misconceptions of writing that contribute to Composition's marginalized disciplinary status in the academy. Writing is generally understood by the academy and public as universal, basic, and formal. College writing instruction, therefore, is imagined as remedial (teaching basic, high-school skills), servile (teaching foundational skills rather than a legitimate area of study), and inexpert (requiring no disciplinary knowledge). When its FYC curricula reinforce these conceptions, Composition _Ê_teaches its own prison._Êù In contrast, curricula which resisted misconceptions by teaching <italic> about</italic> writing, exposing students to comp-rhet research, might undermine labels of remedial or inexpert, improving writing instruction and the discipline's image. ^ In case studies of two FYC curricula, students demonstrated three conceptual models of writing_Êînetworks of _Ê_game knowledge._Êù One writing model pictured writing as hardware (form) on which any software (content) can run, syntax universally characterizing _Ê_good writing._Êù A second model pictured two kinds of writing, structured school writing precluding authenticity and authentically expressive writing precluding structure; structured writing corresponded to the Hardware/Software model. A third model, not native to students, pictured writing as contingent, not universal, and form and content as inseparably arranged material, not independent, making writing a holistic text-producing activity. ^ One curriculum studied used a typical pedagogy of academic inquiry and argument. The other used a _Ê_research_Êù pedagogy in which students read comp-rhet articles, reflected on their own literacy histories and processes, developed research questions from personal experience and open questions in the field, and conducted primary research on them. Participant-observation of both courses, context-sensitive analysis of students' writing, pre- and post-course surveys, and interviews suggested that unlike the standard pedagogy, the research pedagogy resisted misconceptions of universal writing and independent form and content. The research pedagogy helped students see texts as people speaking and helped them understand the activities of reading and producing contributive scholarly texts. These students produced uncommonly successful academic writing and gained disciplinary awareness. ^ The study also suggested that instructor game knowledge is central to such a project and that few Composition instructors have sufficiently expert understandings of writing. ^","Practitioner / Teacher Research ~check|Ethnographic|Interview / Focus Group|Critical / Hermeneutical","",0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,1,1,0,2,"Language, Rhetoric and Composition|Education, Curriculum and Instruction|Education, Higher","Public conceptions|Teaching|Writing|First-year composition|Disciplinary status","Adviser","Thomas N. Huckin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"919","3129394","","DE SOUZA, MAURO BATISTA","Rhetorical resources for a homiletic of the oppressed: The new homiletics of Fred Craddock and Eugene Lowry and the liberation pedagogy of Paulo Freire","Graduate Theological Union","Ph.D.",2004,244,"Sermon listeners of the Evangelical Lutheran Church in Brazil have been listening predominantly to expository, propositional sermons, which are based on deductive logical movement, and tend to be authoritarian in structure and abstract in language. The strong focus on sermon <italic>content</italic>, including solid biblical exegesis and consistent theology, has relegated issues of sermon <italic>form</italic> and sermon <italic>context</italic> to a secondary level. In general, sermons are believed to happen at the mouth of the preacher and not at the ear of the hearers. The message of grace, humanization, and liberation does not reach the hearers effectively because of the lack of rhetorical resources. ^ The goal of this dissertation is to suggest rhetorical resources for Brazilian Lutheran preachers that enable them, (a) to take sermon hearers more seriously in their homiletical praxis by actually listening to them and, thus, discovering their words, themes, stories, fears, hopes, dreams, problems and, (b) to choose more participatory and democratic sermon designs. My contention is that once _Ê_a_Êù and _Ê_b_Êù happen, sermons will face more strongly the dehumanizing consequences of economic globalization and ensure humanization and solidarity as one possible evangelical response. ^ The rhetorical resources that this project proposes to examine come from three different fields: Latin American Protestant liberation theologies, the New Homiletics of Fred Craddock and Eugene Lowry, developed in the United States, and the liberation pedagogy of Brazilian educator Paulo Freire. A <italic> Homiletic of the Oppressed</italic>, my proposal in this dissertation, grows out of the conversation I have with these scholars and their disciplines. ^ Before the analysis of the works of Craddock, Lowry, and Freire I place globalitarism (defined as economic globalization without democratic control) within the realm of theological debate and stress why it should be a concern for Brazilian Lutheran preachers. I lift up the voices of theologians who are reflecting on this economic model and its perverse consequences. These theologians of liberation provide the knowledge of the context out of which this proposal grows and to which it hopes to be useful. Their theologies of liberation and humanization give preachers the possibility to discern the tension_Êîand hopefully take a stand_Êîbetween two very different and contradictory projects for the world. One is the project of economic globalization and globalitarism that causes dehumanization, oppression, and social exclusion. The other is the project of liberation through the radical grace of God in Jesus Christ that makes possible a new world in which humanization and solidarity abound. ^","Cultural-Critical Studies|Rhetorical Analysis|Discourse or Text Analysis ~check","",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,2,"Religion, Clergy|Theology|Language, Rhetoric and Composition","Craddock, Fred B.|Lowry, Eugene|Freire, Paulo|Oppressed|Rhetorical resources|Homiletics|Liberation pedagogy","Coordinator","Thomas G. Rogers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"925","3129720","","HALL, RACHEL","Danger and desire: Instrumental realism in the history of the wanted poster","University of North Carolina at Chapel Hill","Ph.D.",2004,248,"<italic>Danger and Desire</italic> tracks instrumental realism and its performative excesses in the history of the wanted poster. Understood as a double movement of capture, instrumental realism requires the individual's containment through representation, followed by the strategic circulation and display of said representation(s) with the goal of physically capturing the referent. In the wanted poster, instrumental realism literalizes the desire to recover the referent that motivates all realist modes. ^ Cultural critics have not studied the wanted poster, in part, because the text is assumed to be a blunt, self-evident instrument of the police, a tool for capture, and an empty vessel for communication. This project pays close attention to the cultural work that the wanted poster performs in excess of its instrumentality. By considering the wanted poster not only as a tool of capture but also as a cultural performance, one gains access to the symbolic charge of the text's cumulative history and the performative power of the form itself. In the case of the wanted poster, one could argue that form is content. Framed by the conventions of instrumental realism, the individual becomes an outlaw. ^","Historical / Archival ~check|Rhetorical Analysis ~check|Cultural-Critical Studies ~check","",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,1,"American Studies|History, United States|Business Administration, Marketing|Speech Communication|Sociology, Criminology and Penology|Language, Rhetoric and Composition","Instrumental realism|Wanted poster|Advertising|Print culture|Photography","Director","Della Pollock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"926","3129893","","HARVEY, ERIN J.","A case study of graduate assistants' reactions to students' writing","New Mexico State University-Main Campus","Ph.D.",2004,391,"Classroom instruction, assignments, students' writing, and teachers' reactions are inextricably bound; Larson calls this the _Ê_ecology of instruction._Êù Considering the literature's emphasis on comments related to the goals of the assignment and grounded in rhetorical principles taught in the course, it is surprising that so few <italic>in situ</italic> studies have examined the role that assignments and supporting instruction (i.e., feedback on drafts) play in shaping teachers' reactions to students' writing. ^ The purpose of the study was to describe and analyze written reactions to students' writing from a graduate assistant's (GA's) perspective. The research was a qualitative case study design where GAs' written reactions to students' writing was the main unit of analysis. Four PhD students new to the Writing Program in Fall 2002 were selected for the study. Data collection procedures included GAs' written reactions to assignments and drafts over the 15-week semester; three interviews with GAs; ENGL 111 classroom observation; GA's teaching metaphors; and, participant observation in both the theory and pedagogy seminar and small group response and evaluation workshops. ^ Analysis included reading GAs' written reactions in light of students' writing (Straub and Lunsford), the assignment, and GAs' values, priorities, and intentions (Prior). Six categories, representing the focus of GAs' written reactions, emerged from the data: writing task, rhetorical strategies, writing processes, critical thinking, common interest, higher order concerns, lower order concerns, and grades. Findings indicate that GAs react rhetorically to student writing: GAs' written reactions varied according to the writing task, student history, and student growth; and, GAs made comments, marks, and symbols focused on rhetorical strategies across assignments. ^ Course-wide curricula can shape the focus of GAs' comments as well as provide a mechanism for GAs to define their own teaching styles. GA training needs to explicitly link teaching and assessment and support the goals of the writing program: (1) response and evaluation should be discussed in relation to specific assignments, (2) GAs should complete students' assignments in advance, particularly if the curriculum requires less familiar genres (i.e., reflection, editorials), and (3) time should be spent with GAs on aligning their reactions to the rhetorical specification in assignments. ^","Clinical / Case Study|Model-Building ~check","",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0,2,"Education, Teacher Training|Language, Rhetoric and Composition","Graduate assistants|Student writing|Writing assignments","Chair","Stuart C. Brown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"946","3134078","","KLASS-SOFFIAN, RONNI","Control vs. cooperation: A descriptive study of collaborative writing among bilingual Cuban American students in freshman composition","Indiana University of Pennsylvania-Main Campus","Ph.D.",2004,350,"This phenomenological study describes what makes collaborative writing successful among small groups of bilingual Cuban American students in freshman composition. ^ To obtain this information, the researcher spent a full 15-week semester observing two back-to-back, first semester freshman composition classes, ENC 1101, at a large, urban, 6-year university located in a multicultural, multilingual city in the southeastern United States. The classes were taught by an experienced monolingual English-speaking adjunct instructor who implemented three group projects in her classes. The three group projects differed in structure, genre, technical nature, presentation, and creativity. ^ Of the nine groups participating in the study, the researcher closely observed two groups_Êîone in each class_Êîby sitting with them and recording their conversations at every class session for the entire semester. The researcher also accompanied one of the groups to two of their meetings outside the classroom. In addition to detailed field notes and reflective comments, the researcher conducted personal one-on-one interviews with 37 of the 45 participating students and three formal interviews with the teacher during the course of the semester. Additionally, the researcher collected written demographic information from the students, written questionnaires regarding the students' personal experiences of their writing and group work after each of the three group projects, 27 group produced projects, and 43 individually written end-of-semester student essays. ^ On analyzing the data, results showed that bilingualism and cultural background affected collaboration but not in the direction expected. Personal construction of identity more critically affected cooperation or lack thereof. In all, this study found that strong leadership, defining roles and/or role flexibility, an atmosphere of trust, a spirit of cooperation, commonality of purpose, student accountability, and establishing solid group identity by incorporating all group members are requisite for small groups to experience success with collaboration. When language and culture are not shared among group members, these factors are all the more important. ^","Ethnographic|Interview / Focus Group ~check","",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,"Education, Bilingual and Multicultural|Language, Rhetoric and Composition","Collaborative writing|Bilingual|Cooperation|Cuban-American|Freshman composition","Chair","Claude Mark Hurlbert",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"966","3136624","","HINES, ELIZA","High quality and low quality college-level academic writing: Its discursive features","University of Colorado at Boulder","Ph.D.",2004,279,"In response to the competing definitions of what constitutes academic writing in higher education and the highly theoretical discussions of dominant pedagogical concerns in composition theory, this study provides a discursive analysis of high quality and low quality college-level academic writing so as to represent a model of theoretical criteria in practice. The results of this study provide models for the elusive conceptions of inquiry-based writing, inclusion of multiple perspectives on an issue, audience awareness and attention to rhetorical situation, and the effective use of voice in argumentative writing. The resulting models are used to provide detailed definitions of these characteristics, illustrating the impact of philosophical pedagogical goals in the college composition classroom and providing a basis for future research in composition pedagogy. ^","Discourse or Text Analysis|Model-Building ~check","",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,2,"Education, Language and Literature|Language, Rhetoric and Composition|Education, Higher","Discursive|College-level|Academic writing|Composition","Director","William McGinley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"967","3136672","","DAVIS, NANCY L.","Facilitated written life review: Supporting with scaffolds, lifting with words","Union Institute & University","Ph.D.",2004,236,"This study presents an interdisciplinary and dual study of the ways that purposeful language constructions in the form of writing scaffolds are designed for life review in non-clinical settings. Robert Butler developed the concepts surrounding life review over 30 years ago claiming life review's universality and need to address unresolved issues before death. Over time, many studies explored and often confirmed the therapeutic effects of the activity and extended the definitions to include autobiography, memoir, and reminiscence. Since these early studies, however, some life review activities have evolved into life review for self-discovery, particularly in activities for elders, which requires different language prompts than clinical settings. In these instances, it is particularly important to clarify audience and purpose. ^ The study explores the background for structuring language in the form of scaffolds and discusses the evolution of life review, noting the tensions that exist in moving from clinical settings to reviewing self in non-clinical settings. The study documents the experiences of six senior citizens and a researcher who participated in written life review specifically designed to explore memories with the purpose of developing an individual's sense of connectedness and coherence over the life span. Through use of scaffolded writing prompts, each participant reflects on his/her own experiences, fleshing out experiences and constructing life stories that provide reflexive accounts as measured by the Narrative Process Coding System designed by Angus, L., Levitt, H., & Hardtke, K. (1999), a system designed for analyzing therapy language. ^ This research analyzes the process by which purposeful development of writing scaffolds occurs and how the subsequent scaffolds can be useful as an aid in written life review. It also questions issues of audience, purpose, focus, and power that language scaffolds may present. Interviews further enhance and uncover participant experiences. The researcher-in-practice details her experiences in scaffold creation through thoughtful reflective notes asking what influences or restrictions occur while creating and using language scaffolds. This study extends the exploration to a practical handbook for use in non-clinical settings. ^","Clinical / Case Study|Practitioner / Teacher Research|Model-Building ~check","",1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,1,1,0,2,"Psychology, Developmental|Language, Rhetoric and Composition","Words|Scaffolds|Written life review","First Core Adviser","Larry Preston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"975","3137697","","FORSSMAN HILL, DEBORAH L.","_Ê_Crossing the lines_Êù in academic discourse: The transforming and transformative voices of three women in composition studies","University of Missouri-Columbia","Ph.D.",2004,173,"_Ê__ÊÑCrossing the Lines_Ê_ in Academic Discourse_Êù studies how contemporary academic women challenge the conventions and values of traditional academic discourse throughout their careers. Composition studies has been especially attentive to these discursive challenges, but most of this scholarship has been conducted through interviews or has been related through personal narratives. Thus, little attention has been given to the actual written discourse of these women, including the process of transformation, a process that continues to take place over the entire course of a career. By examining the body of work by three women in composition studies, this study pursues two primary objectives: (1) to provide a better understanding of these transformations of academic discourse and (2) to elaborate the pedagogical implications of such transformations for the teaching of composition. ^ First, I provide a theoretical and historical discussion of voice in composition studies in order to provide an over-arching focus for locating the changes in the women's writing. Then, through stylistic and discursive analysis, I trace the voice development of three women in composition studies by studying every publication produced throughout each of their careers. The three compositionists studied are Nancy Sommers, Lillian Bridwell-Bowles, and Wendy Bishop. These women _Ê_cross the lines_Êù between the personal and the academic, the experimental and the conventional, and the creative and the scholarly to challenge, particularly, the notion that an academic voice is only something acquired and not continuously developed. I conclude from my analysis that the three women's academic voices are continually transformed over their careers, a type of development that reinvigorates the concept of _Ê_writing as a process_Êù in composition studies. For these women, to transform as a writer is to move through a process first of imitation in an apprenticeship and mastery mode and then on to becoming an agent of change_Êîa creative academic writer who develops her own interests and critiques options. I suspect that this similar pattern among the three compositionists' process of voice development indicates a transformation process common in general among women academic writers_Êîa hypothesis that needs further study. Finally, I discuss the study's implications for teaching. These implications suggest the need to make students more aware of the voice transformation process, especially to assist them in viewing voice as a work in progress and in realizing the dissonant dynamics of their own evolving writing lives. ^","Discourse or Text Analysis|Cultural-Critical Studies ~check","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,"Biography|Women's Studies|Language, Rhetoric and Composition|Education, Higher","Women educators|Academic discourse|Wendy Bishop|Nancy Sommers|Lillian Bridwell-Bowles|Composition Studies","Supervisor","James Comas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
